Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2020,가야대학교(김해),251,379,159,264,0,0,0,0,0,0,4,0,1,3,15,11,72,101,71.4,5,17,3,3
2020,가천대학교,"2,084","2,238","1,131","1,149",4,5,0,0,4,22,27,16,81,92,210,174,627,780,64.3,51,41,24,47
2020,가톨릭관동대학교,"1,071",650,517,286,7,1,0,0,0,0,9,3,45,36,72,53,421,271,56.6,17,8,13,10
2020,가톨릭꽃동네대학교,41,64,25,47,0,0,0,0,0,0,0,1,1,1,6,1,9,14,76.5,0,2,2,0
2020,가톨릭대학교,627,969,309,432,2,2,0,0,0,0,7,8,20,37,82,103,207,387,57.9,10,10,4,8
2020,가톨릭대학교 _제2캠퍼스,12,76,7,68,0,0,0,0,0,0,0,0,1,0,3,1,1,7,90.5,1,1,0,0
2020,가톨릭대학교 _제3캠퍼스,4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0
2020,감리교신학대학교,134,77,0,0,0,0,0,0,0,0,0,0,0,0,134,77,0,0,0,0,0,0,0
2020,강남대학교,773,947,420,421,1,1,0,0,0,0,4,6,29,43,52,54,267,422,57.3,27,31,2,4
2020,강서대학교,95,183,40,92,0,0,0,0,1,0,0,3,7,11,5,7,42,70,57.9,2,27,0,4
2020,강원대학교,"1,763","1,404",904,622,3,2,1,0,0,0,14,6,34,53,215,165,592,556,58.8,8,7,9,16
2020,강원대학교 _제2캠퍼스,839,503,467,265,2,0,0,0,0,0,2,4,20,19,44,34,304,181,61.6,6,4,2,1
2020,건국대학교,"1,807","1,640",951,697,1,1,1,0,0,0,17,18,51,89,296,409,490,426,66.6,16,70,4,2
2020,건국대학교(글로컬) _분교,745,910,372,412,10,10,0,0,0,0,12,6,32,36,69,88,250,358,59.4,3,2,2,1
2020,건양대학교,431,495,280,276,0,1,0,0,0,1,0,0,8,12,32,28,111,177,66.7,43,11,1,5
2020,건양대학교 _제2캠퍼스,268,584,202,455,0,0,0,0,0,0,0,1,4,6,25,27,37,95,83.5,4,22,0,4
2020,경기대학교,"1,345","1,321",710,605,0,2,1,0,0,0,15,9,55,59,124,90,440,556,59.4,32,22,32,54
2020,경기대학교 _제2캠퍼스,215,301,109,106,2,1,0,0,2,0,2,4,7,23,20,49,73,118,57.3,2,12,5,4
2020,경남과학기술대학교,678,429,363,216,0,0,2,1,0,0,7,2,5,4,26,21,275,185,56.6,26,18,1,3
2020,경남대학교,"1,502","1,169",742,484,11,3,0,0,4,30,16,11,38,35,89,83,602,523,55,29,14,16,33
2020,경동대학교,488,201,265,105,0,0,0,0,0,0,9,4,17,7,86,20,111,65,69.8,109,38,4,3
2020,경동대학교 _제3캠퍼스,215,644,160,520,0,0,0,0,0,0,0,1,4,2,11,8,40,113,81.8,9,14,1,2
2020,경동대학교 _제4캠퍼스,122,179,94,129,0,0,0,0,0,0,1,1,3,1,3,4,21,44,77.9,28,7,0,0
2020,경북대학교,"2,830","2,214","1,312",852,3,3,13,1,0,0,23,9,48,60,381,329,"1,050",960,53.6,18,3,4,4
2020,경상국립대학교,"1,859","1,444",824,518,2,0,0,0,0,0,15,11,21,31,201,142,796,742,48,46,14,16,12
2020,경성대학교,"1,208","1,611",534,715,6,11,0,0,3,12,8,20,37,52,77,82,543,719,52.6,18,16,41,81
2020,경운대학교,469,538,269,351,0,0,0,0,0,0,11,3,14,10,17,6,158,168,66.9,27,14,4,1
2020,경인교육대학교 _제2캠퍼스,125,488,68,266,0,0,0,0,0,0,0,0,2,6,10,5,45,211,57.2,0,1,0,0
2020,경일대학교,874,421,468,225,0,0,0,2,0,0,9,4,16,13,36,27,345,150,59.8,77,21,14,15
2020,경희대학교,"2,844","3,161","1,488","1,358",2,4,0,0,0,0,23,30,98,137,535,732,698,900,66.3,24,163,3,7
2020,계명대학교,"2,078","2,688",953,"1,086",8,4,0,0,4,3,22,29,48,80,227,258,816,"1,228",52.3,34,60,13,27
2020,고려대학교,"2,565","2,007","1,301",876,2,1,0,0,0,0,11,11,86,54,666,633,499,432,71.6,4,7,0,2
2020,고려대학교(세종) _분교,908,550,426,234,0,0,0,0,0,0,11,6,30,34,114,88,327,188,59,4,2,2,2
2020,고신대학교,297,449,115,283,0,0,0,0,0,0,4,2,11,5,101,42,66,117,69.7,0,3,2,13
2020,공주교육대학교,112,251,44,138,0,0,0,0,0,0,0,0,1,4,25,3,42,106,55.8,0,0,0,0
2020,광신대학교,48,71,8,21,0,0,0,0,0,0,0,2,0,3,35,26,5,19,58.6,4,1,0,0
2020,광운대학교,"1,246",572,663,254,2,0,0,0,0,0,8,2,40,24,146,59,387,233,61.6,27,9,1,4
2020,광주가톨릭대학교,8,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
2020,광주과학기술원,103,46,6,2,0,0,0,0,0,0,0,0,1,0,85,34,11,10,30,0,0,0,0
2020,광주교육대학교,127,205,85,127,0,0,0,0,0,0,0,0,0,2,14,4,28,72,68.2,1,1,0,0
2020,광주대학교,656,893,363,461,0,0,3,0,8,19,8,11,20,27,46,71,208,304,64.2,29,47,9,17
2020,광주여자대학교,0,817,0,450,0,0,0,0,0,0,0,9,0,37,0,35,0,286,63.4,0,8,0,27
2020,국립강릉원주대학교,713,518,314,216,3,1,0,1,1,2,7,1,23,9,80,32,285,256,51.7,3,3,4,4
2020,국립강릉원주대학교 _제2캠퍼스,266,228,147,128,1,0,0,0,0,0,3,0,5,2,7,4,103,94,59.2,1,2,0,0
2020,국립공주대학교,"1,638","1,522",869,671,0,0,6,2,3,6,12,10,35,52,136,87,577,694,56.7,167,37,6,3
2020,국립군산대학교,931,617,470,287,5,5,0,0,7,14,14,3,16,16,92,48,327,244,59.4,11,9,19,33
2020,국립금오공과대학교,"1,325",363,744,147,10,0,0,0,0,0,14,1,14,11,69,36,474,168,59.4,52,9,0,1
2020,국립목포대학교,770,672,383,298,2,1,2,0,1,1,6,3,19,22,89,37,268,310,56.1,16,11,8,14
2020,국립목포해양대학교,529,69,409,36,0,0,0,0,0,0,0,0,1,1,67,0,52,32,84.2,0,0,0,2
2020,국립부경대학교,"2,181","1,760","1,012",621,5,2,0,1,0,0,12,10,37,36,215,188,900,902,49.1,36,9,13,15
2020,국립순천대학교,784,873,417,441,0,0,1,0,6,15,3,5,9,23,40,32,308,357,58,17,11,7,19
2020,국립안동대학교,772,595,331,241,1,6,1,0,0,0,5,5,22,15,83,43,329,285,50.5,3,3,9,7
2020,국립창원대학교,979,916,476,350,5,3,0,0,0,0,12,9,18,40,87,59,381,455,52.2,109,32,9,10
2020,국립한국교통대학교,"1,291",649,751,320,5,1,0,0,0,0,12,6,22,14,74,46,427,262,62.1,44,11,4,7
2020,국립한국해양대학교,"1,174",356,723,163,5,1,0,0,0,0,6,0,17,6,140,38,283,148,68.1,60,18,8,7
2020,국립한밭대학교,"1,261",665,683,307,0,0,1,0,0,0,12,5,24,23,94,40,447,290,58.9,172,75,11,2
2020,국민대학교,"1,931","1,589","1,003",734,3,2,0,0,3,16,16,12,71,67,323,277,512,481,66,58,68,30,21
2020,극동대학교,381,336,210,199,3,0,0,0,0,0,2,2,16,17,21,5,129,113,65,1,2,1,0
2020,금강대학교,50,63,24,29,3,0,0,0,0,0,0,0,1,1,4,10,18,23,58.6,0,1,2,1
