Year,Name,Scholar_Male,Scholar_Female,Military_Male,Unemployed_Male,Unemployed_Female,Foreign_Male,Foreign_Female,Excluded_Male,Excluded_Female
2020,가야대학교(김해),0,3,5,0,0,7,4,3,4
2020,가천대학교,114,80,17,1,0,75,85,3,9
2020,가톨릭관동대학교,19,16,28,0,0,16,23,9,14
2020,가톨릭꽃동네대학교,0,1,3,0,0,0,0,3,0
2020,가톨릭대학교,56,77,13,0,0,12,20,1,6
2020,가톨릭대학교 _제2캠퍼스,0,1,3,0,0,0,0,0,0
2020,가톨릭대학교 _제3캠퍼스,0,1,0,0,0,0,2,4,3
2020,감리교신학대학교,57,15,5,0,0,0,1,72,61
2020,강남대학교,12,22,7,1,0,26,27,6,5
2020,강서대학교,1,6,3,0,0,0,0,1,1
2020,강원대학교,152,122,28,0,0,25,33,10,10
2020,강원대학교 _제2캠퍼스,20,22,16,1,0,2,8,5,4
2020,건국대학교,179,151,19,0,0,91,257,7,1
2020,건국대학교(글로컬) _분교,30,45,10,0,0,24,36,5,7
2020,건양대학교,4,11,3,0,0,20,13,5,4
2020,건양대학교 _제2캠퍼스,16,18,5,0,0,4,6,0,3
2020,경기대학교,52,51,30,0,0,39,32,3,7
2020,경기대학교 _제2캠퍼스,0,6,10,0,0,9,42,1,1
2020,경남과학기술대학교,16,12,6,0,1,1,1,3,7
2020,경남대학교,39,36,32,0,0,10,40,8,7
2020,경동대학교,3,4,8,0,0,71,13,4,3
2020,경동대학교 _제3캠퍼스,2,1,9,0,0,0,0,0,7
2020,경동대학교 _제4캠퍼스,2,2,1,0,0,0,0,0,2
2020,경북대학교,292,227,28,0,0,50,89,11,13
2020,경상국립대학교,142,108,28,1,1,20,21,10,12
2020,경성대학교,27,27,13,1,0,28,42,8,13
2020,경운대학교,2,3,14,0,0,0,0,1,3
2020,경인교육대학교 _제2캠퍼스,0,2,10,0,0,0,0,0,3
2020,경일대학교,15,15,10,0,0,4,6,7,6
2020,경희대학교,306,223,56,2,0,160,497,11,12
2020,계명대학교,90,139,18,0,0,97,73,22,46
2020,고려대학교,498,313,28,0,0,136,315,4,5
2020,고려대학교(세종) _분교,93,66,11,0,1,8,17,2,4
2020,고신대학교,32,17,21,0,0,3,2,45,23
2020,공주교육대학교,2,2,23,0,0,0,0,0,1
2020,광신대학교,13,11,1,0,0,4,2,17,13
2020,광운대학교,114,38,15,1,0,11,14,5,7
2020,광주가톨릭대학교,7,0,0,0,0,0,0,1,1
2020,광주과학기술원,80,34,5,0,0,0,0,0,0
2020,광주교육대학교,0,1,14,0,0,0,0,0,3
2020,광주대학교,5,16,19,0,0,12,26,10,29
2020,광주여자대학교,0,8,0,0,0,0,14,0,13
2020,국립강릉원주대학교,44,16,13,0,0,13,10,10,6
2020,국립강릉원주대학교 _제2캠퍼스,4,3,2,0,0,0,0,1,1
2020,국립공주대학교,105,65,20,0,0,5,11,6,11
2020,국립군산대학교,49,30,22,1,0,13,10,7,8
2020,국립금오공과대학교,57,33,4,1,0,1,1,6,2
2020,국립목포대학교,41,23,24,0,0,15,9,9,5
2020,국립목포해양대학교,5,0,61,0,0,0,0,1,0
2020,국립부경대학교,144,89,15,0,0,43,83,13,16
2020,국립순천대학교,23,23,12,1,0,2,4,2,5
2020,국립안동대학교,60,31,10,0,0,4,3,9,9
2020,국립창원대학교,66,43,6,0,0,12,9,3,7
2020,국립한국교통대학교,50,28,10,2,0,4,9,8,9
2020,국립한국해양대학교,56,34,57,0,0,24,2,3,2
2020,국립한밭대학교,70,24,9,0,1,10,13,5,2
2020,국민대학교,171,123,10,0,0,136,145,6,9
2020,극동대학교,8,3,11,0,0,0,0,2,2
2020,금강대학교,0,2,0,0,0,0,0,4,8
2020,김천대학교,5,6,4,0,0,12,18,2,4
2020,나사렛대학교,14,17,16,0,0,10,5,27,18
2020,남부대학교,4,5,10,0,0,35,28,8,11
2020,남서울대학교,6,12,3,0,0,21,38,4,4
2020,단국대학교,78,77,14,0,0,34,65,2,4
2020,단국대학교 _제2캠퍼스,78,130,22,0,0,7,9,4,8
2020,대구가톨릭대학교,48,97,15,0,0,40,41,8,24
2020,대구경북과학기술원,76,43,8,0,0,0,0,0,1
2020,대구교육대학교,2,8,12,0,0,0,0,0,0
2020,대구대학교,58,63,19,1,0,21,28,17,32
2020,대구예술대학교,2,3,6,0,0,0,0,2,6
2020,대구한의대학교,16,31,11,1,0,0,12,3,15
2020,대신대학교,6,6,1,0,0,0,0,7,18
2020,대전가톨릭대학교,9,0,0,0,0,0,0,5,0
2020,대전대학교,27,22,12,0,0,7,16,3,9
2020,대전신학대학교,6,3,3,0,0,0,0,12,4
2020,대진대학교,30,29,14,0,0,12,22,2,11
2020,덕성여자대학교,0,66,0,0,0,0,7,0,1
2020,동국대학교,131,104,15,0,0,74,199,24,28
2020,동국대학교(WISE) _분교,47,56,19,0,0,38,42,23,21
2020,동덕여자대학교,0,94,0,0,3,0,0,0,12
2020,동명대학교,10,11,14,3,0,11,17,9,11
2020,동서대학교,17,11,8,1,1,16,14,6,21
2020,동신대학교,16,9,24,0,0,12,36,6,11
2020,동아대학교,104,129,22,0,0,18,35,15,17
2020,동양대학교,10,4,6,0,0,22,7,4,4
2020,동의대학교,48,31,30,0,1,8,17,9,25
2020,루터대학교,7,3,2,0,0,0,0,1,2
2020,명지대학교,96,50,15,0,0,8,12,1,2
2020,명지대학교 _제2캠퍼스,15,27,4,0,0,10,44,4,8
2020,목원대학교,65,56,14,0,0,6,9,21,19
2020,목포가톨릭대학교,0,0,0,0,0,0,0,0,2
2020,배재대학교,28,28,21,0,0,17,45,3,9
2020,백석대학교,12,20,43,0,0,3,7,69,54
2020,부산가톨릭대학교,4,7,5,0,0,1,0,6,3
2020,부산교육대학교,2,1,7,0,0,0,0,0,0
2020,부산대학교,268,220,24,0,1,52,111,9,23
2020,부산외국어대학교,10,12,9,0,0,46,113,8,12
2020,부산장신대학교,4,8,1,0,0,0,0,9,3
2020,삼육대학교,14,29,20,0,0,6,1,26,14
2020,상명대학교,26,48,10,0,0,94,76,5,4
2020,상명대학교 _제2캠퍼스,17,22,6,0,0,18,22,0,3
2020,상지대학교,20,18,22,0,0,0,1,3,4
2020,서강대학교,165,93,9,0,0,31,85,3,1
2020,서경대학교,18,27,12,0,0,4,93,2,2
2020,서울과학기술대학교,111,57,9,0,2,22,10,4,0
2020,서울교육대학교,1,8,7,0,0,0,0,1,1
2020,서울기독대학교,3,7,1,0,0,0,0,5,7
2020,서울대학교,615,329,61,1,0,13,20,3,5
2020,서울시립대학교,104,44,5,1,0,5,20,6,5
2020,서울신학대학교,30,26,14,0,0,2,1,37,49
2020,서울여자대학교,0,120,0,0,0,0,1,0,32
2020,서울장신대학교,9,9,4,0,0,0,0,21,19
2020,서울한영대학교,4,3,3,0,0,0,0,10,11
