Year,University_Type,Establishment_Type,Region,Status,Name
2020,대학교,사립,경남,기존,가야대학교(김해)
2020,대학교,사립,경기,기존,가천대학교
2020,대학교,사립,강원,기존,가톨릭관동대학교
2020,대학교,사립,충북,기존,가톨릭꽃동네대학교
2020,대학교,사립,경기,기존,가톨릭대학교
2020,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스
2020,대학교,사립,서울,기존,감리교신학대학교
2020,대학교,사립,경기,기존,강남대학교
2020,대학교,사립,서울,기존,강서대학교
2020,대학교,국립,강원,기존,강원대학교
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,건국대학교
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교
2020,대학교,사립,충남,기존,건양대학교
2020,대학교,사립,대전,기존,건양대학교 _제2캠퍼스
2020,대학교,사립,경기,기존,경기대학교
2020,대학교,사립,서울,기존,경기대학교 _제2캠퍼스
2020,대학교,국립,경남,폐교,경남과학기술대학교
2020,대학교,사립,경남,기존,경남대학교
2020,대학교,사립,강원,기존,경동대학교
2020,대학교,사립,강원,기존,경동대학교 _제3캠퍼스
2020,대학교,사립,경기,기존,경동대학교 _제4캠퍼스
2020,대학교,국립,대구,기존,경북대학교
2020,대학교,국립,경남,기존,경상국립대학교
2020,대학교,사립,부산,기존,경성대학교
2020,대학교,사립,경북,기존,경운대학교
2020,교육대학,국립,경기,기존,경인교육대학교 _제2캠퍼스
2020,대학교,사립,경북,기존,경일대학교
2020,대학교,사립,서울,기존,경희대학교
2020,대학교,사립,대구,기존,계명대학교
2020,대학교,사립,서울,기존,고려대학교
2020,대학교,사립,세종,기존,고려대학교(세종) _분교
2020,대학교,사립,부산,기존,고신대학교
2020,교육대학,국립,충남,기존,공주교육대학교
2020,대학교,사립,광주,기존,광신대학교
2020,대학교,사립,서울,기존,광운대학교
2020,대학교,사립,전남,기존,광주가톨릭대학교
2020,대학교,특별법법인,광주,기존,광주과학기술원
2020,교육대학,국립,광주,기존,광주교육대학교
2020,대학교,사립,광주,기존,광주대학교
2020,대학교,사립,광주,기존,광주여자대학교
2020,대학교,국립,강원,기존,국립강릉원주대학교
2020,대학교,국립,강원,기존,국립강릉원주대학교 _제2캠퍼스
2020,대학교,국립,충남,기존,국립공주대학교
2020,대학교,국립,전북,기존,국립군산대학교
2020,대학교,국립,경북,기존,국립금오공과대학교
2020,대학교,국립,전남,기존,국립목포대학교
2020,대학교,국립,전남,기존,국립목포해양대학교
2020,대학교,국립,부산,기존,국립부경대학교
2020,대학교,국립,전남,기존,국립순천대학교
2020,대학교,국립,경북,기존,국립안동대학교
2020,대학교,국립,경남,기존,국립창원대학교
2020,대학교,국립,충북,기존,국립한국교통대학교
2020,대학교,국립,부산,기존,국립한국해양대학교
2020,대학교,국립,대전,기존,국립한밭대학교
2020,대학교,사립,서울,기존,국민대학교
2020,대학교,사립,충북,기존,극동대학교
2020,대학교,사립,충남,기존,금강대학교
2020,대학교,사립,경북,기존,김천대학교
2020,대학교,사립,충남,기존,나사렛대학교
2020,대학교,사립,광주,기존,남부대학교
2020,대학교,사립,충남,기존,남서울대학교
2020,대학교,사립,경기,기존,단국대학교
2020,대학교,사립,충남,기존,단국대학교 _제2캠퍼스
2020,대학교,사립,경북,기존,대구가톨릭대학교
2020,대학교,특별법법인,대구,기존,대구경북과학기술원
2020,교육대학,국립,대구,기존,대구교육대학교
2020,대학교,사립,경북,기존,대구대학교
2020,대학교,사립,경북,기존,대구예술대학교
2020,대학교,사립,경북,기존,대구한의대학교
2020,대학교,사립,경북,기존,대신대학교
2020,대학교,사립,세종,기존,대전가톨릭대학교
2020,대학교,사립,대전,기존,대전대학교
2020,대학교,사립,대전,기존,대전신학대학교
2020,대학교,사립,경기,기존,대진대학교
2020,대학교,사립,서울,기존,덕성여자대학교
2020,대학교,사립,서울,기존,동국대학교
2020,대학교,사립,경북,기존,동국대학교(WISE) _분교
2020,대학교,사립,서울,기존,동덕여자대학교
2020,대학교,사립,부산,기존,동명대학교
2020,대학교,사립,부산,기존,동서대학교
2020,대학교,사립,전남,기존,동신대학교
2020,대학교,사립,부산,기존,동아대학교
2020,대학교,사립,경북,기존,동양대학교
2020,대학교,사립,부산,기존,동의대학교
2020,대학교,사립,경기,기존,루터대학교
2020,대학교,사립,경기,기존,명지대학교
2020,대학교,사립,서울,기존,명지대학교 _제2캠퍼스
2020,대학교,사립,대전,기존,목원대학교
2020,대학교,사립,전남,기존,목포가톨릭대학교
2020,대학교,사립,대전,기존,배재대학교
2020,대학교,사립,충남,기존,백석대학교
2020,대학교,사립,부산,기존,부산가톨릭대학교
2020,교육대학,국립,부산,기존,부산교육대학교
2020,대학교,국립,부산,기존,부산대학교
2020,대학교,사립,부산,기존,부산외국어대학교
2020,대학교,사립,경남,기존,부산장신대학교
2020,대학교,사립,서울,기존,삼육대학교
2020,대학교,사립,서울,기존,상명대학교
2020,대학교,사립,충남,기존,상명대학교 _제2캠퍼스
2020,대학교,사립,강원,기존,상지대학교
2020,대학교,사립,서울,기존,서강대학교
2020,대학교,사립,서울,기존,서경대학교
2020,대학교,국립,서울,기존,서울과학기술대학교
2020,교육대학,국립,서울,기존,서울교육대학교
2020,대학교,사립,서울,기존,서울기독대학교
2020,대학교,국립대법인,서울,기존,서울대학교
2020,대학교,공립,서울,기존,서울시립대학교
2020,대학교,사립,경기,기존,서울신학대학교
2020,대학교,사립,서울,기존,서울여자대학교
2020,대학교,사립,경기,기존,서울장신대학교
2020,대학교,사립,서울,기존,서울한영대학교
2020,대학교,사립,충북,기존,서원대학교
2020,대학교,사립,충남,기존,선문대학교
2020,대학교,사립,경기,기존,성결대학교
2020,대학교,사립,서울,기존,성공회대학교
2020,대학교,사립,서울,기존,성균관대학교
2020,대학교,사립,서울,기존,성신여자대학교
2020,대학교,사립,충북,기존,세명대학교
2020,대학교,사립,서울,기존,세종대학교
2020,대학교,사립,전남,기존,세한대학교
2020,대학교,사립,광주,기존,송원대학교
2020,대학교,사립,경기,기존,수원가톨릭대학교
2020,대학교,사립,경기,기존,수원대학교
2020,대학교,사립,서울,기존,숙명여자대학교
2020,각종학교(대학),사립,충북,기존,순복음총회신학교
2020,대학교,사립,충남,기존,순천향대학교
2020,대학교,사립,서울,기존,숭실대학교
2020,대학교,사립,경북,기존,신경주대학교
2020,대학교,사립,부산,기존,신라대학교
2020,대학교,사립,경기,기존,신한대학교
2020,대학교,사립,경기,기존,신한대학교 _제2캠퍼스
2020,대학교,사립,경기,기존,아신대학교
2020,대학교,사립,경기,기존,아주대학교
2020,대학교,사립,경기,기존,안양대학교
2020,대학교,사립,인천,기존,안양대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,연세대학교
2020,대학교,사립,강원,기존,연세대학교(미래) _분교
2020,대학교,사립,경북,기존,영남대학교
2020,대학교,사립,경북,기존,영남신학대학교
2020,대학교,사립,경남,기존,영산대학교
2020,대학교,사립,부산,기존,영산대학교 _제2캠퍼스
2020,대학교,사립,전남,기존,영산선학대학교
2020,대학교,사립,전북,기존,예수대학교
2020,대학교,사립,전북,기존,예원예술대학교
2020,대학교,사립,경기,기존,예원예술대학교 _제2캠퍼스
2020,대학교,사립,경기,기존,용인대학교
2020,대학교,사립,전북,기존,우석대학교
2020,대학교,사립,대전,기존,우송대학교
2020,대학교,특별법법인,울산,기존,울산과학기술원
2020,대학교,사립,울산,기존,울산대학교
2020,대학교,사립,전북,기존,원광대학교
2020,대학교,사립,경북,기존,위덕대학교
2020,대학교,사립,충북,기존,유원대학교
2020,대학교,사립,대전,기존,을지대학교
2020,대학교,사립,경기,기존,을지대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,이화여자대학교
2020,대학교,사립,경남,기존,인제대학교
2020,대학교,사립,부산,기존,인제대학교 _제2캠퍼스
2020,대학교,사립,인천,기존,인천가톨릭대학교
2020,대학교,사립,인천,기존,인천가톨릭대학교 _제2캠퍼스
2020,대학교,국립대법인,인천,기존,인천대학교
2020,대학교,사립,인천,기존,인하대학교
2020,대학교,사립,서울,기존,장로회신학대학교
2020,대학교,국립,광주,기존,전남대학교
2020,대학교,국립,전남,기존,전남대학교 _제2캠퍼스
2020,대학교,국립,전북,기존,전북대학교
2020,교육대학,국립,전북,기존,전주교육대학교
2020,대학교,사립,전북,기존,전주대학교
2020,대학교,사립,제주,기존,제주국제대학교
2020,대학교,국립,제주,기존,제주대학교
2020,대학교,사립,광주,기존,조선대학교
2020,대학교,사립,충남,기존,중부대학교
2020,대학교,사립,서울,기존,중앙대학교
2020,대학교,사립,경기,기존,중앙대학교 _제2캠퍼스
2020,대학교,사립,경기,기존,중앙승가대학교
2020,대학교,사립,충북,기존,중원대학교
2020,교육대학,국립,경남,기존,진주교육대학교
2020,대학교,사립,경기,기존,차의과학대학교
2020,대학교,사립,경남,기존,창신대학교
2020,산업대학,사립,충남,기존,청운대학교
2020,교육대학,국립,충북,기존,청주교육대학교
2020,대학교,사립,충북,기존,청주대학교
2020,대학교,사립,전남,기존,초당대학교
2020,대학교,사립,서울,기존,총신대학교
2020,대학교,사립,서울,기존,추계예술대학교
2020,교육대학,국립,강원,기존,춘천교육대학교
2020,대학교,국립,대전,기존,충남대학교
2020,대학교,국립,충북,기존,충북대학교
2020,대학교,사립,경기,기존,칼빈대학교
2020,대학교,사립,경기,기존,평택대학교
2020,대학교,사립,경북,기존,포항공과대학교
2020,대학교,국립,경기,기존,한경국립대학교
